Deliverable 1
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
1000.0,-19.572239795518083,154.10654142450514,154.81509803827464,22.99856040249463,-10.65432276065356,0.0,3.84938538373701,70.55900082035065,0.865815461935011,0,53379.429886856306
1000.0,-13.083510059637392,158.18394785762547,157.08448435507822,20.92359733280002,-11.986125663408677,-0.7091934202118115,3.196321286344863,71.12831930106519,-3.7856531416392896,1,52276.73184165141
1000.0,-19.263735563288286,156.00770156420046,156.5886057124153,18.136359071993088,-19.459102707847965,3.0555160724479484,0.0,78.44960735348343,-8.501544500167437,2,49093.11041243427
1000.0,-25.189585396075216,160.69781172811733,159.86393926759925,17.22852086002448,-22.390215206387552,0.8516451985662458,2.041483194476027,79.41341538579589,-4.399970698967339,3,33283.89734182869
1000.0,-23.35789602155781,157.51747210384187,156.8706833128961,14.694406518332361,-12.276222859407506,-3.224057619761563,-0.9044757728064261,64.65474953924706,-6.087854847964843,4,48139.741591334736
CV: ,236172.91107410542,Lambda: ,1000.0,Alpha: ,0.2
10000.0,17.92970652034141,44.20748952994044,44.477750988520995,4.809522185934613,0.0,0.0,0.4519174570332261,14.798146994243343,0.0,0,155386.8456828411
10000.0,20.199453543299832,45.24798410397722,45.29864568199776,3.903113835933394,0.0,0.0,0.0,14.12378565115836,0.0,1,138694.70054333843
10000.0,17.712063380867853,44.65083436751408,44.828953737688025,3.4621949943505137,-1.5690650439287275,0.0,0.544593800582064,16.460944855060475,-0.4630394368685254,2,137956.07826526827
10000.0,16.239926408514865,45.24528393784,45.288791454048244,2.865509013325201,-1.7696347966004933,0.0,0.0,15.967057884222232,0.0,3,113915.90924259069
10000.0,17.11903208780205,44.39199638032284,44.409662081407106,2.2832678650598552,0.0,-0.5992635697512536,0.0,11.832583921029393,0.0,4,156074.4948971752
CV: ,702028.0286312137,Lambda: ,10000.0,Alpha: ,0.2
100000.0,1.2893782032284857,4.123784731500736,4.154754933491573,0.0,0.0,0.0,0.0,0.0,0.0,0,225895.27758603948
100000.0,1.5881221939474768,4.274220827028746,4.283284990905559,0.0,0.0,0.0,0.0,0.0,0.0,1,189749.87197735492
100000.0,1.2578011495526866,4.170807117225311,4.1910837579332085,0.0,0.0,0.0,0.0,0.1233483861421687,0.0,2,203034.6443013815
100000.0,1.074692997560552,4.215352140704161,4.22273606734545,0.0,0.0,0.0,0.0,0.022485620081103455,0.0,3,178989.14446047024
